,"('Close', 'AAPL')","('Volume', 'AAPL')","('Close', 'MSFT')","('Volume', 'MSFT')","('Close', 'AMD')","('Volume', 'AMD')"
2020-01-02 00:00:00,75.0875015258789,135480400,160.6199951171875,22622100,49.099998474121094,80331100
2020-01-03 00:00:00,74.35749816894531,146322800,158.6199951171875,21116200,48.599998474121094,73127400
2020-01-06 00:00:00,74.94999694824219,118387200,159.02999877929688,20813700,48.38999938964844,47934900
2020-01-07 00:00:00,74.59750366210938,108872000,157.5800018310547,21634100,48.25,58061400
2020-01-08 00:00:00,75.79750061035156,132079200,160.08999633789062,27746500,47.83000183105469,53767000
2020-01-09 00:00:00,77.40750122070312,170108400,162.08999633789062,21385000,48.970001220703125,76512800
2020-01-10 00:00:00,77.5824966430664,140644800,161.33999633789062,20725900,48.16999816894531,44133700
2020-01-13 00:00:00,79.23999786376953,121532000,163.27999877929688,21626500,48.75,34266800
2020-01-14 00:00:00,78.16999816894531,161954400,162.1300048828125,23477400,48.209999084472656,38563200
2020-01-15 00:00:00,77.83499908447266,121923600,163.17999267578125,21417900,48.54999923706055,40199900
2020-01-16 00:00:00,78.80999755859375,108829200,166.1699981689453,23865400,49.77000045776367,58898900
2020-01-17 00:00:00,79.68250274658203,137816400,167.10000610351562,34371700,50.93000030517578,57722500
2020-01-21 00:00:00,79.14250183105469,110843200,166.5,29517200,51.04999923706055,49095000
2020-01-22 00:00:00,79.42500305175781,101832400,165.6999969482422,24138800,51.43000030517578,40772200
2020-01-23 00:00:00,79.80750274658203,104472000,166.72000122070312,19680800,51.709999084472656,40135400
2020-01-24 00:00:00,79.57749938964844,146537600,165.0399932861328,24918100,50.349998474121094,80004900
2020-01-27 00:00:00,77.23750305175781,161940000,162.27999877929688,32078100,49.2599983215332,48878600
2020-01-28 00:00:00,79.42250061035156,162234000,165.4600067138672,24899900,50.529998779296875,62343800
2020-01-29 00:00:00,81.08499908447266,216229200,168.0399932861328,34754500,47.5099983215332,112349900
2020-01-30 00:00:00,80.96749877929688,126743200,172.77999877929688,51597500,48.779998779296875,70460200
2020-01-31 00:00:00,77.37750244140625,199588400,170.22999572753906,36142700,47.0,60322400
2020-02-03 00:00:00,77.16500091552734,173788400,174.3800048828125,30107000,48.02000045776367,46983500
2020-02-04 00:00:00,79.7125015258789,136616400,180.1199951171875,36433300,49.45000076293945,46302100
2020-02-05 00:00:00,80.36250305175781,118826800,179.89999389648438,39186300,49.84000015258789,42737100
2020-02-06 00:00:00,81.30249786376953,105425600,183.6300048828125,27751400,49.31999969482422,48670600
2020-02-07 00:00:00,80.00749969482422,117684000,183.88999938964844,33529100,49.72999954223633,53107600
2020-02-10 00:00:00,80.38749694824219,109348800,188.6999969482422,35844300,52.2599983215332,60971700
2020-02-11 00:00:00,79.90249633789062,94323200,184.44000244140625,53159900,53.79999923706055,74719100
2020-02-12 00:00:00,81.80000305175781,113730400,184.7100067138672,47062900,53.88999938964844,45994900
2020-02-13 00:00:00,81.21749877929688,94747600,183.7100067138672,35295800,54.529998779296875,51640000
2020-02-14 00:00:00,81.23750305175781,80113600,185.35000610351562,23149500,55.310001373291016,52365400
2020-02-18 00:00:00,79.75,152531200,187.22999572753906,27792200,56.88999938964844,70133200
2020-02-19 00:00:00,80.90499877929688,93984000,187.27999877929688,29997500,58.900001525878906,58597300
2020-02-20 00:00:00,80.07499694824219,100566000,184.4199981689453,36862400,57.27000045776367,74203400
2020-02-21 00:00:00,78.26249694824219,129554000,178.58999633789062,48572600,53.279998779296875,88271100
2020-02-24 00:00:00,74.54499816894531,222195200,170.88999938964844,68311100,49.119998931884766,86624100
2020-02-25 00:00:00,72.0199966430664,230673600,168.07000732421875,68073300,47.56999969482422,88699400
2020-02-26 00:00:00,73.1624984741211,198054800,170.1699981689453,56206100,47.4900016784668,86378400
2020-02-27 00:00:00,68.37999725341797,320605600,158.17999267578125,93174900,44.0099983215332,106416200
2020-02-28 00:00:00,68.33999633789062,426510000,162.00999450683594,97012700,45.47999954223633,100331800
2020-03-02 00:00:00,74.70249938964844,341397200,172.7899932861328,71030800,47.459999084472656,102324700
2020-03-03 00:00:00,72.33000183105469,319475600,164.50999450683594,71677000,46.75,141972300
2020-03-04 00:00:00,75.68499755859375,219178400,170.5500030517578,49814400,50.11000061035156,93311800
2020-03-05 00:00:00,73.2300033569336,187572800,166.27000427246094,47817300,48.11000061035156,98302700
2020-03-06 00:00:00,72.25749969482422,226176800,161.57000732421875,72821100,48.59000015258789,124590900
2020-03-09 00:00:00,66.5425033569336,286744800,150.6199951171875,70419300,43.27000045776367,80859800
2020-03-10 00:00:00,71.33499908447266,285290000,160.9199981689453,65354400,45.380001068115234,76228200
2020-03-11 00:00:00,68.85749816894531,255598800,153.6300048828125,56371600,45.70000076293945,101601100
2020-03-12 00:00:00,62.057498931884766,418474000,139.05999755859375,93226400,39.0099983215332,107461500
2020-03-13 00:00:00,69.49250030517578,370732000,158.8300018310547,92727400,43.900001525878906,86689700
2020-03-16 00:00:00,60.5525016784668,322423600,135.4199981689453,87905900,38.709999084472656,84545900
2020-03-17 00:00:00,63.21500015258789,324056000,146.57000732421875,81059800,41.880001068115234,92741900
2020-03-18 00:00:00,61.66749954223633,300233600,140.39999389648438,81593200,39.119998931884766,106949300
2020-03-19 00:00:00,61.19499969482422,271857200,142.7100067138672,85922700,39.81999969482422,88939000
2020-03-20 00:00:00,57.310001373291016,401693200,137.35000610351562,84866200,39.61000061035156,106859500
2020-03-23 00:00:00,56.092498779296875,336752800,135.97999572753906,78975200,41.63999938964844,101704700
